Date,Lake,Site,Lat,Long,Cyclops abyssorum (adults + copepodites I-V) ind/L,Cyclopidae nauplii ind/L,Cyclops vicinus (adults + copepodites I-V) ind/L,Copedods - Misc. ind/l,Eudiaptomus gracilis (adults + copepodites I-V) ind/L,Eudiaptomus nauplii ind/L,Daphnia hyalina ind/L,Bosmina longirostris ind/L,Bythotrephes longimanus ind/L,Leptodora kindtii ind/L,Chydoridae ind/L,Cyclopidae (total no. of Cyclopidae adults & copepodites I-V incl. C.abyssorum & C.vicinus) ind/L,Polyphemus pediculus ind/L,Ceriodaphnia sp. ind/L,Sampling method
9/6/1982,Loch Leven,Reed Bower,56.193745,-3.395932,48.1,55.04,#N/A,#N/A,10.86,3.95,19.43,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
16/6/1982,Loch Leven,Reed Bower,56.193745,-3.395932,13.8,9.53,#N/A,#N/A,4.45,3.18,17.16,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
1/7/1982,Loch Leven,Reed Bower,56.193745,-3.395932,7.52,17.16,#N/A,#N/A,3.36,1.56,6.77,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
6/7/1982,Loch Leven,Reed Bower,56.193745,-3.395932,6.74,14.33,#N/A,#N/A,5.55,0.79,6.19,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
14/7/1982,Loch Leven,Reed Bower,56.193745,-3.395932,1.21,3.25,#N/A,#N/A,1.96,0.3,8.06,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
20/7/1982,Loch Leven,Reed Bower,56.193745,-3.395932,0.46,0.22,#N/A,#N/A,0.99,0.66,3.95,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
27/7/1982,Loch Leven,Reed Bower,56.193745,-3.395932,0.82,1.53,#N/A,#N/A,2.54,0.7,13.41,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
3/8/1982,Loch Leven,Reed Bower,56.193745,-3.395932,0.93,0.38,#N/A,#N/A,3.45,0.78,6.38,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
10/8/1982,Loch Leven,Reed Bower,56.193745,-3.395932,4.02,2.33,#N/A,#N/A,10.79,2.12,13.56,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
23/8/1982,Loch Leven,Reed Bower,56.193745,-3.395932,4.99,0.51,#N/A,#N/A,12.16,0.72,3.07,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
8/9/1982,Loch Leven,Reed Bower,56.193745,-3.395932,1.9,2.75,#N/A,#N/A,5.5,0.21,0.42,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
14/9/1982,Loch Leven,Reed Bower,56.193745,-3.395932,3.75,8.33,#N/A,#N/A,6.52,1.07,0.26,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
