Expr1,month,year,RB5 ChlA,RB5 Cond,RB5 DO,RB5 NH4,RB5 NO2,RB5 NO3,RB5 pH,RB5 PP,RB5 PSiO2,RB5 SD,RB5 SRP,RB5 SRSi,RB5 SURP,RB5 Temp,RB5 TON,RB5 TP,RB5 TSi,RB5 TSP,Sl8 ChlA,Sl8 Cond,Sl8 DO,Sl8 NH4,Sl8 NO2,Sl8 NO3,Sl8 pH,Sl8 PP,Sl8 PSiO2,Sl8 SD,Sl8 SRP,Sl8 SRSi,Sl8 SURP,Sl8 Temp,Sl8 TON,Sl8 TP,Sl8 TSi,Sl8 TSP,Sl8 TSSiO2,Uns ChlA,Uns NO3,Uns SRP,Uns SRSi,Uns TP
11/6/2013,,,36.73,,,,,,,,,,6,2.07,,,,59.22,2.33,13.37,9.76,,,,,,,,,,11.97,2.23,,,,31.86,2.57,16.83,,,,,,
25/6/2013,,,35.75,,,,,,,,,,9.1,1.89,,,,64.12,3.65,16.1,34.96,,,,,,,,,,12.01,1.75,,,,57.9,3.24,13.02,,,,,,
9/7/2013,,,39.93,,,,,,,,,,6.36,0.15,,,,66.06,2.8,13.92,38.57,,,,,,,,,,2.17,0.16,,,,60.93,2.77,12.93,,,,,,
26/7/2013,,,71.58,,,,,,,,,,3.54,1,,,,88.24,2.77,13.07,18.5,,,,,,,,,,4.87,0.9,,,,58.51,2.41,15.18,,,,,,
6/8/2013,,,65.91,,,,,,,,,,4.88,0.8,,,,82.34,2.97,11.69,62.09,,,,,,,,,,7.34,0.72,,,,78.25,2.71,13.47,,,,,,
20/8/2013,,,54.27,,,,,,,,,,12.7,2.07,,,,69.28,4.66,12.63,46.84,,,,,,,,,,10.28,2.09,,,,61.07,4.25,12.85,,,,,,
3/9/2013,,,37.84,,,,,,,,,,2.21,0.51,,,,83.88,4.06,10.96,31.44,,,,,,,,,,5.16,0.53,,,,59.11,2.23,9.71,,,,,,
19/9/2013,,,31.43,,,,,,,,,,5.94,,,,,48.33,,14.2,32.12,,,,,,,,,,8.49,,,,,45.95,,15.96,,,,,,
1/10/2013,,,45.77,,,,,,,,,,1.65,,,,,78.03,,10.18,36.1,,,,,,,,,,4.98,,,,,46.19,,8.81,,,,,,
15/10/2013,,,53.44,,,,,,,,,,10.21,,,,,56.04,,10.3,44.64,,,,,,,,,,1.83,,,,,47.31,,9.12,,,,,,
29/10/2013,,,9.37,,,,,,,,,,11,,,,,31.67,,18.97,7.05,,,,,,,,,,17.26,,,,,31.6,,22.17,,,,,,
21/1/2014,,,7.62,,,,,,,,,,,,,,,,,,6.79,,,,,,,,,,,,,,,,,,,,,,,
4/2/2014,,,19.21,,,,,,,,,,7.04,,,,,33.57,,13.65,17.4,,,,,,,,,,5.74,,,,,31.47,,12.49,,,,,,
4/3/2014,,,10.53,,,,,,,,,,1.5,,,,,25.11,,7.89,10.61,,,,,,,,,,1.4,,,,,22.66,,5.98,,,,,,
17/3/2014,,,18.94,,,,,,,,,,2.08,,,,,28.68,,8.38,17.52,,,,,,,,,,1.28,,,,,24.55,,7.52,,,,,,
1/4/2014,,,17.96,,,,,,,,,,2.46,,,,,31.28,,7.92,20.16,,,,,,,,,,3.17,,,,,21.96,,7.16,,,,,,
15/4/2014,,,12.62,,,,,,,,,,1.62,,,,,18.94,,6.24,11.43,,,,,,,,,,1.38,,,,,19.82,,7.12,,,,,,
29/4/2014,,,8.54,,,,,,,,,,1.84,,,,,18.75,,9.05,35.55,,,,,,,,,,2.79,,,,,34.56,,8.67,,,,,,
13/5/2014,,,6.04,,,,,,,,,,1.38,,,,,15.31,,8.13,8.3,,,,,,,,,,1.42,,,,,16.69,,8.38,,,,,,
27/5/2014,,,14.62,,,,,,,,,,1.74,,,,,25.69,,11.29,5.97,,,,,,,,,,1.35,,,,,16.1,,9.87,,,,,,
10/6/2014,,,8.57,,,,,,,,,,1.45,,,,,22.99,,12.31,5.45,,,,,,,,,,1.46,,,,,17.08,,10.59,,,,,,
24/6/2014,,,4.67,,,,,,,,,,2.03,,,,,21.4,,12.25,5.79,,,,,,,,,,4.02,,,,,25.18,,15.48,,,,,,
8/7/2014,,,8.63,,,,,,,,,,2.78,,,,,24.93,,11.95,7.27,,,,,,,,,,3.03,,,,,22.44,,12.87,,,,,,
22/7/2014,,,30.73,,,,,,,,,,2.09,,,,,39.03,,10.85,46.11,,,,,,,,,,2.11,,,,,48.05,,11.12,,,,,,
5/8/2014,,,33.09,,,,,,,,,,7.1,,,,,64.72,,17.82,23.73,,,,,,,,,,3.9,,,,,52.24,,14.33,,,,,,
19/8/2014,,,23.94,,,,,,,,,,3.33,,,,,59.81,,14.89,22.56,,,,,,,,,,3.39,,,,,58.87,,14.93,,,,,,
2/9/2014,,,20.02,,,,,,,,,,2.86,,,,,44.16,,11.22,15.27,,,,,,,,,,4.55,,,,,36.05,,11.49,,,,,,
16/9/2014,,,33.86,,,,,,,,,,3.65,,,,,67.05,,14.39,23.97,,,,,,,,,,4.01,,,,,50.55,,14.39,,,,,,
2/10/2014,,,30.13,,,,,,,,,,3.01,,,,,49.61,,11.51,23.02,,,,,,,,,,2.42,,,,,42.31,,12.51,,,,,,
14/10/2014,,,29.25,,,,,,,,,,4.57,,,,,89.46,,14.79,25.74,,,,,,,,,,4.6,,,,,46.17,,13.54,,,,,,
28/10/2014,,,51.02,,,,,,,,,,3.15,,,,,60.11,,11.78,52.24,,,,,,,,,,2.32,,,,,53.07,,10.32,,,,,,
11/11/2014,,,40.8,,,,,,,,,,4.64,,,,,52.65,,12.2,41.61,,,,,,,,,,2.82,,,,,44.32,,10.95,,,,,,
26/11/2014,,,16.27,,,,,,,,,,5.12,,,,,30.54,,10.48,15.99,,,,,,,,,,3.01,,,,,27.12,,9.56,,,,,,
12/12/2014,,,8.95,,,,,,,,,,5.57,,,,,28.06,,15.63,6.8,,,,,,,,,,8.97,,,,,34.39,,15.74,,,,,,
6/1/2015,,,6.78,,,,,,,,,,8.73,,,,,31.36,,16.02,6.91,,,,,,,,,,9.28,,,,,30.81,,15.7,,,,,,
20/1/2015,,,,,,,,,,,,,,,,,,,,,7.48,,,,,,,,,,12.31,,,,,33.61,,18.45,,,,,,
2/2/2015,,,,,,,,,,,,,,,,,,,,,16.45,,,,,,,,,,4.78,,,,,33.54,,11.82,,,,,,
17/2/2015,,,43.57,,,,,,,,,,2.26,,,,,34.32,,10.08,35.86,,,,,,,,,,4.47,,,,,30.93,,10.56,,,,,,
4/3/2015,,,46.22,,,,,,,,,,1.94,,,,,43.15,,9.71,43.57,,,,,,,,,,4.76,,,,,40.95,,10.42,,,,,,
17/3/2015,,,22.52,,,,,,,,,,2.54,,,,,31.8,,9.75,21.62,,,,,,,,,,2.36,,,,,29.39,,8.45,,,,,,
31/3/2015,,,15.98,,,,,,,,,,2.39,,,,,44.23,,9.39,21.5,,,,,,,,,,6.76,,,,,68.94,,12.78,,,,,,
14/4/2015,,,13.35,,,,,,,,,,4.05,,,,,26.05,,7.48,12.42,,,,,,,,,,22.57,,,,,23.93,,10.61,,,,,,
28/4/2015,,,3.84,,,,,,,,,,5.38,,,,,21.35,,8.09,2.85,,,,,,,,,,24.14,,,,,20.84,,10.59,,,,,,
13/5/2015,,,2.32,,,,,,,,,,21.82,,,,,22.49,,14.89,2.6,,,,,,,,,,31.43,,,,,20.53,,15.64,,,,,,
26/5/2015,,,9.37,,,,,,,,,,9.37,,,,,19.89,,10.14,7.78,,,,,,,,,,2.1,,,,,18.4,,11.44,,,,,,
9/6/2015,,,3.24,,,,,,,,,,14.42,,,,,23.02,,11.33,2.05,,,,,,,,,,0.26,,,,,15.56,,11.7,,,,,,
23/6/2015,,,11.1,,,,,,,,,,14.48,,,,,26.42,,11.97,43.87,,,,,,,,,,4.56,,,,,54.14,,11.7,,,,,,
7/7/2015,,,7,,,,,,,,,,18.51,,,,,23.29,,14.47,7.81,,,,,,,,,,5.82,,,,,17.34,,14.52,,,,,,
21/7/2015,,,19.09,,,,,,,,,,5.05,,,,,26.11,,10.05,19.57,,,,,,,,,,3.73,,,,,21.23,,9.57,,,,,,
4/8/2015,,,38.26,,,,,,,,,,4.2,,,,,42.91,,10.84,39.3,,,,,,,,,,4.45,,,,,36.06,,9,,,,,,
18/8/2015,,,21.79,,,,,,,,,,4.45,,,,,49.12,,11.03,19.4,,,,,,,,,,8.52,,,,,39.83,,13.18,,,,,,
1/9/2015,,,48.17,,,,,,,,,,4.17,,,,,52.81,,9.93,38.11,,,,,,,,,,6.65,,,,,51.27,,13.75,,,,,,
15/9/2015,,,34.36,,,,,,,,,,5.49,,,,,16.29,,13.79,31.46,,,,,,,,,,5.3,,,,,12.13,,10.45,,,,,,
29/9/2015,,,37.06,,,,,,,,,,3.86,,,,,46.45,,9.88,25.72,,,,,,,,,,3.98,,,,,30.98,,9.03,,,,,,
13/10/2015,,,42.26,,,,,,,,,,6.14,,,,,47.6,,11.47,41.13,,,,,,,,,,6.36,,,,,39.58,,10.89,,,,,,
27/10/2015,,,12.65,,,,,,,,,,10.8,,,,,43.26,,17.82,15.42,,,,,,,,,,8.45,,,,,35.82,,17.15,,,,,,
10/11/2015,,,3.9,,,,,,,,,,28.17,,,,,88.28,,32.44,5.07,,,,,,,,,,28.81,,,,,62.76,,39.69,,,,,,
