Expr1,month,year,RB5 ChlA,RB5 Cond,RB5 DO,RB5 NH4,RB5 NO2,RB5 NO3,RB5 pH,RB5 PP,RB5 PSiO2,RB5 SD,RB5 SRP,RB5 SRSi,RB5 SURP,RB5 Temp,RB5 TON,RB5 TP,RB5 TSi,RB5 TSP,Sl8 ChlA,Sl8 Cond,Sl8 DO,Sl8 NH4,Sl8 NO2,Sl8 NO3,Sl8 pH,Sl8 PP,Sl8 PSiO2,Sl8 SD,Sl8 SRP,Sl8 SRSi,Sl8 SURP,Sl8 Temp,Sl8 TON,Sl8 TP,Sl8 TSi,Sl8 TSP,Sl8 TSSiO2,Uns ChlA,Uns NO3,Uns SRP,Uns SRSi,Uns TP
18/4/1988,,,23.8,,,,,1.21,,39.5,,,5.3,0.2,10.4,,,55.2,,15.7,22.6,,,,,1.17,,31.3,,,5.4,0.1,12.3,8.7,,49,,17.7,,22.6,1.21,5.4,0.2,55.2
26/4/1988,,,,,,,,,,,,,,,,,,,,,26.6,,,,,,,36,,,2.7,0,7.9,9.6,,46.6,,10.6,,26.6,,2.7,0,46.6
4/5/1988,,,,,,,,,,,,,,,,,,,,,27.4,,,,,0.9,,28.4,,,2,0.1,9.6,9,,40,,11.6,,27.4,0.9,2,0.1,40
12/5/1988,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,22.3,,,1.3,0.3,9.7,11.6,,33.3,,11,,14.5,,1.3,0.3,33.3
20/5/1988,,,3.4,,,,,,,10.1,,3.5,7.6,0.9,11.2,12.8,,28.9,,18.8,,,,,,,,,,,,,,,,,,,,3.4,,7.6,0.9,28.9
28/5/1988,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,8.45,17.4,,,4.4,1.2,14.5,14.8,,36.3,,18.9,,11.1,,4.4,1.2,28.9
5/6/1988,,,6.3,,,,,,,3.9,,3.25,3.1,1.5,19,17.5,,26,,22.1,,,,,,,,,,,,,,,,,,,,6.3,,3.1,1.5,26
13/6/1988,,,8.9,,,,,,,9.4,,2.75,2.6,1.9,16.2,,,28.2,,18.8,7.9,,,,,,8.8,,,,,,,19,,,,,,7.9,,2.6,1.9,28.2
21/6/1988,,,23.5,,,,,,8.35,31.6,,2.25,4.9,4.5,18.9,17.5,,55.4,,23.8,53.2,,,,,,8.92,69.3,,,3.6,2.9,17.2,18.5,,90.1,,20.8,,53.2,,4.9,4.5,55.4
29/6/1988,,,26.4,,,,,0.05,,42.4,,1.65,3.4,5.4,16.4,18.5,,62.2,,19.8,,,,,,,,,,,,,,,,,,,,26.4,0.05,3.8,5.4,62.2
7/7/1988,,,15.6,,,,,0.11,,24.8,,1.65,30.6,6.6,16.7,17.5,,72.1,,47.3,,,,,,,,,,,,,,,,,,,,15.6,0.11,30.6,6.6,72.1
15/7/1988,,,23.9,,,,,0.1,,34.7,,1.6,19.7,6.7,15.5,16,,69.9,,35.2,,,,,,,,,,,,,,,,,,,,23.9,0.1,18.5,6.7,69.9
23/7/1988,,,23.8,,,,,0.02,,33.8,,1.8,19.2,6.5,14.6,16.5,,67.6,,33.8,,,,,,,,,,,,,,,,,,,,23.8,0.02,17.7,6.5,67.6
31/7/1988,,,,,,,,,,,,,,,,,,,,,39.6,,,,,0.02,,51.8,,,6,,14.3,15.5,,72.1,,20.3,,39.6,0.02,6,,72.1
8/8/1988,,,45.1,,,,,0.02,,49.6,,1.05,3.8,0.5,15.6,18,,69,,19.4,,,,,,,,,,,,,,,,,,,,45.1,0.02,3.8,0.5,69
16/8/1988,,,60.1,,,,,0.01,,60.9,,1.35,14.1,0.1,17.5,16,,92.5,,31.6,,,,,,,,,,,,,,,,,,,,60.1,0,14.1,0.1,92.5
24/8/1988,,,51.5,,,,,0.1,,54.1,,1.35,21.8,0.2,18.4,15.75,,94.3,,40.2,,,,,,,,,,,,,,,,,,,,51.5,0.1,21.8,0.2,94.3
9/9/1988,,,14.2,,,,,0.23,,31.8,,2.3,40.7,2.4,7.5,14,,80,,48.2,,,,,,,,,,,,,,,,,,,,14.2,0.22,40.7,2.4,80
3/10/1988,,,,,,,,,,,,,,,,,,,,,26.4,,,,,0.19,7.73,32.8,,,21.9,5,13.8,11.5,,68.5,,35.7,,26.4,0.19,21.9,5,68.5
11/10/1988,,,22.8,,,,,0.37,,32.8,,2.01,21.6,5.5,14.5,9.1,,68.9,,36.1,18.8,,,,,0.39,7.7,31.9,,,22.9,5.6,13.6,9.1,,68.4,,36.5,,18.8,0.37,21.6,5.5,68.9
19/10/1988,,,,,,,,,,,,,,,,,,,,,19.3,,,,,,7.78,33.2,,,20.9,6.3,13.6,10,,67.7,,34.5,,19.3,,20.9,6.3,67.7
27/10/1988,,,,,,,,,,,,,,,,,,,,,12.1,,,,,0.72,7.6,40.2,,,7,6.3,16,10.1,,63.2,,23,,12.1,0.72,7,6.3,63.2
4/11/1988,,,,,,,,,,,,,,,,,,,,,15.5,,,,,0.93,7.9,40.2,,,25.2,6.7,16,6.5,,58.3,,36.8,,15.5,0.93,25.2,6.7,58.3
12/11/1988,,,,,,,,,,,,,,,,,,,,,10.6,,,,,1.27,8,17,,,24.9,7.5,9.9,7,,51.8,,34.8,,10.6,1.27,24.9,7.5,51.8
20/11/1988,,,,,,,,,,,,,,,,,,,,,13.6,,,,,1.55,8.28,18.1,,,18.8,6.9,11.7,4.6,,48.6,,30.5,,13.6,1.55,18.8,6.9,48.6
6/12/1988,,,,,,,,,,,,,,,,,,,,,13.1,,,,,2.25,7.3,32.7,,,16.7,8.5,8.1,2.5,,57.5,,24.8,,13.1,2.25,16.7,8.5,57.5
14/12/1988,,,,,,,,,,,,,,,,,,,,,16.7,,,,,1.33,7.97,15.4,,,14,7.4,13.6,5.4,,43,,27.6,,16.7,1.33,14,7.4,43
15/1/1989,,,,,,,,,,,,,,,,,,,,,48.9,,,,,2.22,7.7,,,,15.7,10.74,,8.2,,269.7,,24,,48.9,2.22,15.7,10.74,269.7
23/1/1989,,,,,,,,,,,,,,,,,,,,,53.3,,,,,1.93,7.7,,,,13.1,4.97,,6.8,,70.4,,22.7,,53.3,1.93,13.1,4.97,70.4
31/1/1989,,,,,,,,,,,,,,,,,,,,,44.8,,,,,0.77,7.87,,,,9.9,5.34,,7,,81.3,,18.2,,44.8,0.77,9.9,5.34,81.3
3/2/1989,,,,,,,,,,,,1.45,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/1989,,,,,,,,,,,,,,,,,,,,,43.8,,,,,,8.07,,,,3.9,2.13,,7.65,,49.5,,14.6,,43.8,,3.9,2.13,49.5
16/2/1989,,,,,,,,,,,,0.92,,,,,,,,,38.2,,,,,2.42,7.98,,,,5.6,3.39,,2.8,,77.7,,16.2,,38.2,2.42,5.6,3.39,77.7
24/2/1989,,,,,,,,,,,,,,,,,,,,,45.1,,,,,2.3,8.35,,,,2.7,1.17,,3,,64.9,,12.5,,45.1,2.3,2.7,1.17,64.9
4/3/1989,,,56.8,,,,,2.09,,44.4,,1,3,,,,,56.3,,11.9,56.2,,,,,1.94,8.57,,,,2.5,0.15,,4,,49.4,,10.5,,56.2,2.09,2.5,0.15,49.4
12/3/1989,,,49.8,,,,,1.74,,43.1,,1.17,2.2,,,6.2,,54.2,,11.1,58.8,,,,,1.15,8.2,,,,2.2,0.49,,8,,51.9,,9.9,,,1.74,2.2,0.49,51.9
13/3/1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8,,,,
20/3/1989,,,52.8,,,,,1.77,,46.1,,1.05,2.6,,,5.5,,58.6,,12.5,48.9,,,,,1.86,8.35,,,,2.6,0.7,,5.5,,57.2,,12.9,,48.9,1.77,2.6,0.7,57.2
28/3/1989,,,38.5,,,,,,,35.7,,1.09,2.1,,,6.6,,48.9,,13.2,42.3,,,,,,,,,,2.1,0.3,,6.4,,50.2,,12.3,,42.3,,2.1,0.3,50.2
5/4/1989,,,,,,,,,,,,,,,,,,,,,45.7,,,,,1.94,8.2,,,,2.1,0.13,,5.8,,47.6,,11.9,,45.7,1.94,2.1,0.13,47.6
13/4/1989,,,42.2,,,,,1.89,,30.4,,1.24,2.1,,,7,,41.9,,11.5,36.9,,,,,1.8,,,,,2.5,0.35,,7,,41.9,,11.5,,36.9,1.89,2.5,0.35,41.9
21/4/1989,,,,,,,,,,,,,,,,,,,,,18.2,,,,,,8.61,,,,2.7,0.19,,9.3,,38,,9.1,,18.2,,2.7,0.19,38
29/4/1989,,,,,,,,,,,,,,,,,,,,,16.3,,,,,,8.92,,,,4,0.26,,9.1,,34.3,,11.9,,16.3,,4,0.26,34.3
7/5/1989,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,7.95,,,,4.9,0.38,,14,,37.5,,11.4,,17.3,,4.9,0.38,37.5
15/5/1989,,,22.8,,,,,0.74,7.53,32.9,,1.61,2.23,,,12.4,,43.4,,10.5,22,,,,,1.16,7.85,,,,1.3,0.32,,12.1,,36.6,,10.5,,22,0.74,1.3,0.32,36.6
23/5/1989,,,23,,,,,,7.17,27,,1.4,1.2,,,16.1,,38,,11,18.9,,,,,,7.71,,,,2.1,0.31,,15.8,,32.5,,10.1,,18.9,,2.1,0.31,32.5
31/5/1989,,,16.9,,,,,,8.28,29.8,,1.6,1.7,,,14.8,,41.6,,11.8,19.4,,,,,0.66,8.33,,,,2.2,0.16,,12.9,,37.8,,11.3,,19.4,0.66,2.2,0.16,37.8
8/6/1989,,,16,,,,,0.7,,23.3,,2.4,1.8,,,16,,37.3,,14,15.4,,,,,0.71,,,,,2.7,0.28,,15,,34,,14,,15.4,0.7,2.7,0.28,34
16/6/1989,,,24.1,,,,,0.53,8.4,22.7,,1.48,3.8,,,17.5,,39.5,,16.8,26.4,,,,,0.52,8.4,,,,4.6,0.86,,16.8,,38.2,,17.7,,26.4,0.53,4.6,0.86,38.2
24/6/1989,,,29.8,,,,,,8.46,42.8,,1.15,3,,,17.2,,59.2,,16.4,30.3,,,,,,8.97,,,,3.4,1.68,,16.4,,47.9,,16,,30.3,,3.4,1.68,47.9
2/7/1989,,,32.6,,,,,0.17,9.14,45.7,,1.19,3.9,,,16.2,,62.3,,16.6,29.3,,,,,0.18,8.55,,,,3.9,2.52,,15.2,,61.4,,16.6,,29.3,0.17,3.9,2.52,61.4
10/7/1989,,,33.4,,,,,,9.04,47.4,,1.28,6.4,,,17.2,,67,,19.6,38.2,,,,,,,,,,3,2.65,,17,,62.9,,16,,38.2,,3,2.65,62.9
18/7/1989,,,37.4,,,,,,9.32,52.4,,1,16,,,20.2,,87.2,,34.8,42.6,,,,,,,,,,4.3,3.03,,20.9,,74.1,,21.7,,42.6,,4.3,3.03,74.1
26/7/1989,,,34.6,,,,,,9.07,53.2,,,77,,,19.5,,,,,47.4,,,,,,,,,,47.8,3.51,,18.8,,135.1,,66.7,,47.4,,47.8,3.51,135.1
3/8/1989,,,,,,,,,,,,,,,,,,,,,41.6,,,,,0.01,9.06,,,,45.8,1.82,,17.2,,126.5,,62.6,,41.6,0.01,45.8,1.82,126.5
11/8/1989,,,,,,,,,,,,,,,,,,,,,66.1,,,,,0.01,9.19,,,,55.8,0.29,,16.9,,157.7,,75.9,,66.1,0.01,55.8,0.29,157.7
19/8/1989,,,76.5,,,,,0.01,9.2,115.1,,1,56.2,,,15,,,,,62.3,,,,,0.01,9.3,,,,52.5,0.12,,15,,159.2,,78,,62.3,0.01,52.5,0.12,159.2
27/8/1989,,,,,,,,,,,,,,,,,,,,,48.5,,,,,0.01,8.65,,,,39.4,0.17,,13.8,,121.5,,58.4,,48.5,0.01,39.4,0.17,121.5
4/9/1989,,,59.4,,,,,,8.5,74.9,,1.02,42.2,,,13.9,,,,,59.3,,,,,,8.43,,,,34.3,0.4,,13.1,,123.3,,50.7,,59.3,,34.3,0.4,123.3
12/9/1989,,,,,,,,,,,,,,,,,,,,,46.8,,,,,0.02,8.54,,,,21.9,0.4,,12.8,,103.6,,37.2,,46.8,0.02,21.9,0.4,103.6
20/9/1989,,,,,,,,,,,,,,,,,,,,,59.4,,,,,,8.23,,,,10.3,0.34,,13,,112.3,,32,,59.4,,10.3,0.34,112.3
28/9/1989,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,4.3,0.47,,12,,112.6,,19,,75,,4.3,0.47,112.6
6/10/1989,,,,,,,,,,,,,,,,,,,,,101,,,,,0.08,7.94,,,,12.4,0.75,,11.2,,277.6,,29.2,,101,0.08,12.4,0.75,277.6
14/10/1989,,,,,,,,,,,,,,,,,,,,,38.9,,,,,0.1,,,,,12.1,0.95,,8.5,,93.2,,26.6,,38.9,0.1,12.1,0.95,93.2
22/10/1989,,,25,,,,,0.12,,36.3,,1.61,18.1,,,10.3,,,,,23.4,,,,,0.19,,,,,17.7,1.62,,9.3,,69.2,,32.8,,23.4,0.12,17.7,1.62,69.2
30/10/1989,,,,,,,,,,,,,,,,,,,,,31.1,,,,,0.95,7.6,,,,17.9,4.67,,8.9,,108.8,,34.3,,31.1,0.95,17.9,4.67,108.8
7/11/1989,,,,,,,,,,,,,,,,,,,,,34.9,,,,,0.35,7.6,,,,20.6,2.59,,7,,122.2,,31.5,,34.9,0.34,20.6,2.59,122.2
15/11/1989,,,,,,,,,,,,,,,,,,,,,32.4,,,,,,,,,,8.7,2.3,,7,,62.5,,17.7,,32.4,,8.7,2.3,62.5
23/11/1989,,,,,,,,,,,,,,,,,,,,,47.7,,,,,,,,,,6.5,2.36,,4.1,,75.6,,14.9,,47.7,,6.5,2.36,75.6
1/12/1989,,,,,,,,,,,,,,,,,,,,,38,,,,,0.56,,,,,4,1.43,,3.7,,52.4,,14.3,,38,0.56,4,1.43,52.4
9/12/1989,,,,,,,,,,,,,,,,,,,,,69.9,,,,,0.7,,,,,15.6,1.18,,2.9,,112.5,,51.6,,69.9,0.7,15.6,1.18,112.5
17/12/1989,,,,,,,,,,,,,,,,,,,,,46,,,,,0.78,,,,,4.3,0.72,,2,,72.8,,15.6,,46,0.78,4.3,0.72,72.8
25/12/1989,,,,,,,,,,,,,,,,,,,,,38.9,,,,,1.15,,,,,3.2,0.98,,3.2,,66.8,,13.6,,38.9,1.15,3.2,0.98,66.8
2/1/1990,,,,,,,,,,,,,,,,,,,,,39.7,,,,,,,,,,2.2,0.82,,2.7,,56.2,2.71,9.4,0.87,39.7,1.35,2.2,0.82,56.2
10/1/1990,,,,,,,,,,,,,,,,,,,,,68.1,,,,,1.01,,,,,7.3,,,5.4,,174,,18.9,,68.1,1.01,7.3,,174
18/1/1990,,,,,,,,,,,,,,,,,,,,,21.3,,,,,3.56,,,,,6.9,,,3,,69.4,,16.3,,21.3,3.56,6.9,,69.4
26/1/1990,,,,,,,,,,,,,,,,,,,,,33.8,,,,,2.92,,,,,8.4,4.28,,2,,101.9,8.75,16.7,4.23,33.8,2.92,8.4,4.28,101.9
28/1/1990,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/1990,,,,,,,,,,,,,,,,,,,,,63.5,,,,,2.49,,,,,3.3,0.56,,3.4,,93.8,6.72,12.4,0.68,63.5,2.49,3.3,0.68,93.8
11/2/1990,,,,,,,,,,,,,,,,,,,,,73.6,,,,,,,,,,2.8,0.62,,4.1,,89.1,6.52,12.5,0.67,73.6,2.62,2.8,0.67,89.1
19/2/1990,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,2.6,0.26,,4.2,,75.9,6.57,10.1,0.78,33,2.69,2.6,0.26,75.9
27/2/1990,,,,,,,,,,,,,,,,,,,,,63.7,,,,,,,,,,7.4,3.74,,3.2,,106.6,8.55,16.4,3.66,63.7,3.31,7.4,3.74,106.6
7/3/1990,,,,,,,,,,,,,,,,,,,,,43.3,,,,,2.88,8.47,,,,3.4,1.43,,7.7,,91.8,6.46,11.9,1.54,43.3,2.88,3.4,1.43,91.8
15/3/1990,,,,,,,,,,,,,,,,,,,,,51.7,,,,,,8.8,,,,2.7,0.1,,7.8,,74.3,5.24,10.6,0.2,51.7,2.65,2.7,0.1,74.3
23/3/1990,,,,,,,,,,,,,,,,,,,,,47.4,,,,,,8.9,,,,2.6,0.73,,7.2,,63,5.48,10.9,0.88,47.4,2.78,2.6,0.73,63
26/3/1990,,,,,,,,,,,,1,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/3/1990,,,,,,,,,,,,1.1,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/3/1990,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,9.15,,,,2.1,0.16,,8.6,,49.4,2.88,10.9,0.21,35.6,2.43,2.1,0.16,49.4
4/4/1990,,,,,,,,,,,,1.25,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/1990,,,,,,,,,,,,,,,,,,,,,31.7,,,,,,9.29,,,,2.5,0.01,,7.6,,47.7,2.22,10.5,0.1,31.7,2.38,2.5,0.01,47.7
11/4/1990,,,,,,,,,,,,1.25,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/4/1990,,,,,,,,,,,,1.35,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/4/1990,,,,,,,,,,,,,,,,,,,,,23.3,,,,,,8.32,,,,2.1,0.47,,7.2,,52.7,2.51,11.3,0.62,23.3,2.37,2.1,0.47,52.7
23/4/1990,,,,,,,,,,,,1.5,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/4/1990,,,,,,,,,,,,,,,,,,,,,18.3,,,,,,8.02,,,,0.8,0.1,,8.6,,39.8,1.16,12.1,0.25,18.3,2.14,0.8,0.1,39.8
29/4/1990,,,,,,,,,,,,1.6,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/1990,,,,,,,,,,,,1.8,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/1990,,,,,,,,,,,,,,,,,,,,,9,,,,,,7.93,,,,1.7,0.44,,14.2,,27.7,0.96,11.3,0.56,9,1.46,1.7,0.44,27.7
3/5/1990,,,,,,,,,,,,2.5,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/1990,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,7.73,,,,1.7,0.83,,12.9,,26.9,1.36,14.6,1.17,6.5,1.59,1.7,0.83,26.9
11/5/1990,,,,,,,,,,,,3.3,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/5/1990,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,7.78,,,,6.6,1.2,,12.7,,48,1.85,19.7,1.43,7.1,1.58,6.6,1.2,48
21/5/1990,,,,,,,,,,,,3.3,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/5/1990,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,8.62,,,,2.3,0.69,,16.1,,30.2,1.2,20,0.86,4.9,1.31,2.3,0.69,30.2
28/5/1990,,,,,,,,,,,,3.3,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/1990,,,,,,,,,,,,,,,,,,,,,9.7,,,,,0.99,8.94,,,,4.7,,,14.2,,33,,18.4,,9.7,0.99,4.7,,33
11/6/1990,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,8.15,,,,1.7,1.55,,14.2,,38.3,2.01,23.6,1.66,6.6,1.12,1.7,1.55,38.3
19/6/1990,,,,,,,,,,,,,,,,,,,,,23.7,,,,,,8.93,,,,2.9,1.76,,16.5,,47.2,2.43,18.2,1.84,23.7,0.81,2.9,1.84,47.2
27/6/1990,,,,,,,,,,,,1.6,,,,15.5,,,,,29.9,,,,,,9.08,,,,3,,,16.2,,44.1,,17.6,,29.9,0.5,3,,44.6
2/7/1990,,,,,,,,,,,,1.5,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/1990,,,,,,,,,,,,,,,,,,,,,76.6,,,,,,8.86,,,,6.3,1.78,,14.4,,113.7,10.13,20.3,2.04,76.6,0.58,6.3,1.78,113.7
8/7/1990,,,,,,,,,,,,1.6,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/7/1990,,,,,,,,,,,,,,,,,,,,,44.8,,,,,,9.37,,,,3.5,0.27,,16,,48.5,2.37,16.8,0.45,44.8,0.2,3.5,0.27,48.5
15/7/1990,,,,,,,,,,,,1,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/7/1990,,,,,,,,,,,,,,,,,,,,,110.7,,,,,,9.42,,,,3.5,0.56,,19,,88,1.4,20.8,0.7,110.7,0.06,3.5,0.56,88
22/7/1990,,,,,,,,,,,,1,,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/7/1990,,,,,,,,,,,,,,,,21.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/7/1990,,,,,,,,,,,,,,,,,,,,,58.6,,,,,0.04,9.49,,,,5.3,0.53,,19,,89.4,2.08,23.6,0.7,58.6,0.04,5.3,0.53,89.4
31/7/1990,,,,,,,,,,,,1.1,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/1990,,,,,,,,,,,,1.2,,,,17,,,,,55.3,,,,,0.18,9.04,,,,28.8,0.65,,16.5,,110.3,4.25,49.3,0.89,55.3,0.18,28.8,0.65,110.3
14/8/1990,,,,,,,,,,,,,,,,,,,,,21,,,,,0.15,8.46,,,,79,1.65,,17,,126,2.5,95.9,1.94,21,0.15,79,1.65,126
22/8/1990,,,,,,,,,,,,,,,,,,,,,23.3,,,,,0.39,8.2,,,,50.4,2.42,,16,,101.4,3.49,70,2.6,23.3,0.39,50.4,2.42,101.4
30/8/1990,,,,,,,,,,,,,,,,,,,,,32.1,,,,,0.27,,,,,58.7,,,16.4,,104.1,,72.4,,32.1,0.27,58.7,,104.1
7/9/1990,,,,,,,,,,,,,,,,,,,,,79.1,,,,,0.14,7.9,,,,36,,,13.4,,131.1,,53.6,,79.1,0.14,36,,131.1
10/9/1990,,,,,,,,,,,,1.7,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/9/1990,,,,,,,,,,,,,,,,,,,,,52.1,,,,,0.04,8.74,,,,39,,,14.6,,106.7,,51.9,,52.1,0.04,39,,106.7
23/9/1990,,,,,,,,,,,,,,,,,,,,,55.3,,,,,,8.55,,,,25.9,2.25,,11,,103.3,,42.7,,55.3,,25.9,2.25,103.3
1/10/1990,,,,,,,,,,,,,,,,,,,,,48.7,,,,,,8.41,,,,18.4,,,10.8,,90.9,,31.3,,48.7,,18.4,,90.9
9/10/1990,,,,,,,,,,,,,,,,,,,,,92.5,,,,,1.01,8.2,,,,6.4,,,11.2,,131.1,,21.4,,92.5,1.01,6.4,,131.1
17/10/1990,,,,,,,,,,,,,,,,,,,,,89.7,,,,,0.23,8.7,,,,3.8,,,10.7,,84.5,,19.6,,89.7,0.23,3.8,,84.5
25/10/1990,,,,,,,,,,,,,,,,,,,,,75.4,,,,,,7.94,,,,8.1,,,9.9,,79,,21.5,,75.4,,8.1,,79
2/11/1990,,,,,,,,,,,,,,,,,,,,,45.8,,,,,,8,,,,6.8,,,6.1,,91.8,,14.2,,45.8,,6.8,,91.8
10/11/1990,,,,,,,,,,,,,,,,,,,,,105.5,,,,,,8.85,,,,2.6,,,6.5,,68.9,,14.2,,105.5,,2.6,,68.9
18/11/1990,,,,,,,,,,,,,,,,,,,,,87.7,,,,,,8.3,,,,5.6,,,5.5,,98.6,,14.6,,87.7,,5.6,,98.6
26/11/1990,,,,,,,,,,,,,,,,,,,,,102.7,,,,,,8.58,,,,3,,,4.2,,77.6,,15.1,,102.7,,3,,77.6
4/12/1990,,,,,,,,,,,,,,,,,,,,,92.7,,,,,,8.35,,,,3.4,,,3.7,,68.5,,12.8,,92.7,,3.4,,68.5
12/12/1990,,,,,,,,,,,,,,,,,,,,,90.7,,,,,,7.94,,,,4.7,,,1.3,,132,,16,,90.7,,4.7,,132
20/12/1990,,,,,,,,,,,,,,,,,,,,,90.8,,,,,,8.2,,,,3.4,,,3.2,,88.1,,13.2,,90.8,,3.4,,88.1
28/12/1990,,,,,,,,,,,,,,,,,,,,,89,,,,,,8.18,,,,3.8,,,2.6,,89,,15.5,,89,,3.8,,89
8/3/1991,,,,,,,,,,,,,,,,,,,,,2,,,,0.01,0.17,,2.3,,,17.7,1.27,36.9,,0.18,56.9,,54.6,,2,0.17,17.7,1.27,56.9
19/3/1991,,,,,,,,,,,,,,,,,,,,,32.8,,,,0.01,0.3,,50,,,6.9,0.41,11.9,,0.31,68.8,,18.8,,32.8,0.3,6.9,0.4,68.8
31/3/1991,,,,,,,,,,,,,,,,,,,,,31.6,,,,0.01,0.3,,37,,,2.5,0.34,10.2,,0.31,49.7,,12.7,,31.6,0.3,2.5,0.34,49.7
11/4/1991,,,,,,,,,,,,,,,,,,,,,33.8,,,,0.01,0.29,,36.8,,,5.1,0.17,10.6,,0.3,52.5,,15.7,,33.8,0.29,5.1,0.17,52.5
24/4/1991,,,,,,,,,,,,,,,,,,,,,16.4,,,,0.01,0.22,,25.7,,,1.7,0.49,12.5,,0.23,39.9,,14.2,,16.3,0.22,1.7,0.49,39.9
6/5/1991,,,,,,,,,,,,,,,,,,,,,9,,,,0.01,0.27,,52.7,,,5.3,0.48,11,,0.27,69,,16.3,,9,0.26,5.3,0.48,69
16/5/1991,,,,,,,,,,,,,,,,,,,,,12.7,,,,0.01,0.31,,28.3,,,13.5,0.85,2.7,,0.32,44.5,,16.2,,,,13.5,,44.5
29/5/1991,,,,,,,,,,,,,,,,,,,,,9.8,,,,0.01,0.25,,59.7,,,6.1,1.2,15.5,,0.26,81.3,,21.6,,9.8,0.31,6.1,1.2,81.3
7/6/1991,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.02,0.14,,0.4,,,13.1,1.49,23.5,,0.16,37,,36.6,,0.5,0.25,13.1,,37
19/6/1991,,,,,,,,,,,,,,,,,,,,,22.8,,,,0.02,0.1,,10.1,,,14.8,1.02,14.2,,0.12,39.1,,29,,22.8,0.1,14.8,1.02,39.1
27/6/1991,,,,,,,,,,,,,,,,,,,,,47.6,,,,0.01,0.07,,30.4,,,14.8,1.79,21.7,,0.08,66.9,,36.5,,47.6,0.07,14.8,1.79,66.9
9/7/1991,,,,,,,,,,,,,,,,,,,,,31.2,,,,0.01,0.03,,51.1,,,16.4,2.97,14.8,,0.05,82.3,,31.2,,30.2,0.03,16.4,2.97,82.3
18/7/1991,,,30.6,,,,0.01,0.01,,19.1,,,29.5,3.46,58.8,,0.02,107.4,,88.3,,,,,0.01,0,,31.2,,,30,3.18,50.1,,0.01,111.3,,80.1,,6.8,0,30,3.18,111.3
29/7/1991,,,29.4,,,,0.02,0.02,,17.4,,,95.6,3.1,34.1,,0.04,147.1,,129.7,75.8,,,,0.01,0.02,,115.9,,,57.8,2.42,22.2,,0.04,195.9,,80,,102,0.02,57.8,2.42,195.9
8/8/1991,,,,,,,,,,,,,,,,,,,,,146.9,,,,0.01,0.01,,177.6,,,65,2.4,26.8,,0.01,269.4,,91.8,,146.9,0,65,2.4,269.4
20/8/1991,,,,,,,,,,,,,,,,,,,,,2.3,,,,0.01,0,,10.8,,,71.3,2.7,71.6,,0.01,142.9,,132.1,,2.3,0,71.3,2.7,132.1
30/8/1991,,,44.4,,,,0,0,,68.6,,,31.8,1.63,23.3,,0,123.7,,55.1,,,,,0,0.01,,11.2,,,75.7,2.15,61.1,,0.01,136.8,,125.6,,1,,75.7,2.15,125.6
19/9/1991,,,22.1,,,,0.01,0.01,,25.8,,,73.8,4.02,33.8,,0.02,133.4,,107.6,41.9,,,,0.01,0.02,,21.9,,,79.9,4.06,28.6,,0.02,130.1,,108.2,,41.9,0.56,17,4.06,133.4
