Date,Site,Measure,Value,Units,Instrument,FileName,TabName
2/10/2014,Reed Bower,DO,10.52,mg/L,Hach HQ30d,Datasheets_2014,02.10.14
2/10/2014,Reed Bower,DO,102,%,Hach HQ30d,Datasheets_2014,02.10.14
14/10/2014,Reed Bower,DO,10.33,mg/L,Hach HQ30d,Datasheets_2014,14.10.14
14/10/2014,Reed Bower,DO,91.8,%,Hach HQ30d,Datasheets_2014,14.10.14
28/10/2014,Reed Bower,DO,10.63,mg/L,Hach HQ30d,Datasheets_2014,28.10.14
28/10/2014,Reed Bower,DO,97.8,%,Hach HQ30d,Datasheets_2014,28.10.14
11/11/2014,Reed Bower,DO,11.54,mg/L,Hach HQ30d,Datasheets_2014,11.11.14
11/11/2014,Reed Bower,DO,100.8,%,Hach HQ30d,Datasheets_2014,11.11.14
26/11/2014,Reed Bower,DO,11.63,mg/L,Hach HQ30d,Datasheets_2014,26.11.14
26/11/2014,Reed Bower,DO,97.1,%,Hach HQ30d,Datasheets_2014,26.11.14
12/12/2014,Reed Bower,DO,12.52,mg/L,Hach HQ30d,Datasheets_2014,12.12.14
12/12/2014,Reed Bower,DO,96.6,%,Hach HQ30d,Datasheets_2014,12.12.14
6/1/2015,Reed Bower,DO,11.61,mg/L,Hach HQ30d,Datasheets_2015,06.01.15
6/1/2015,Reed Bower,DO,91.1,%,Hach HQ30d,Datasheets_2015,06.01.15
17/2/2015,Reed Bower,DO,13.41,mg/L,Hach HQ30d,Datasheets_2015,17.02.15
17/2/2015,Reed Bower,DO,100.5,%,Hach HQ30d,Datasheets_2015,17.02.15
4/3/2015,Reed Bower,DO,12.58,mg/L,Hach HQ30d,Datasheets_2015,04.03.15
4/3/2015,Reed Bower,DO,95.2,%,Hach HQ30d,Datasheets_2015,04.03.15
17/3/2015,Reed Bower,DO,12.14,mg/L,Hach HQ30d,Datasheets_2015,17.03.15
17/3/2015,Reed Bower,DO,96.8,%,Hach HQ30d,Datasheets_2015,17.03.15
31/3/2015,Reed Bower,DO,11.16,mg/L,Hach HQ30d,Datasheets_2015,31.03.15
31/3/2015,Reed Bower,DO,92.8,%,Hach HQ30d,Datasheets_2015,31.03.15
14/4/2015,Reed Bower,DO,10.7,mg/L,Hach HQ30d,Datasheets_2015,14.04.15
14/4/2015,Reed Bower,DO,91.4,%,Hach HQ30d,Datasheets_2015,14.04.15
28/4/2015,Reed Bower,DO,9.46,mg/L,Hach HQ30d,Datasheets_2015,28.04.15
28/4/2015,Reed Bower,DO,85.9,%,Hach HQ30d,Datasheets_2015,28.04.15
13/5/2015,Reed Bower,DO,10.04,mg/L,Hach HQ30d,Datasheets_2015,13.05.15
13/5/2015,Reed Bower,DO,91.9,%,Hach HQ30d,Datasheets_2015,13.05.15
26/5/2015,Reed Bower,DO,10.24,mg/L,Hach HQ30d,Datasheets_2015,26.05.15
26/5/2015,Reed Bower,DO,97.7,%,Hach HQ30d,Datasheets_2015,26.05.15
9/6/2015,Reed Bower,DO,10.09,mg/L,Hach HQ30d,Datasheets_2015,09.06.15
9/6/2015,Reed Bower,DO,97.1,%,Hach HQ30d,Datasheets_2015,09.06.15
